Match ID,Spieler 1,Spieler 2,Gewinner,Verlierer,Score,Winner Avg,Loser Avg,Plattform,Status,Datum,Fehler
587,Christian1980,AlkaTraz,Christian1980,AlkaTraz,4:3,5957.0,5519.0,scolia,confirmed,2026-04-13 20:10:39,"Winner Avg zu hoch, Loser Avg zu hoch"
565,Kasper4E,Basti Q,Kasper4E,Basti Q,4:3,4665.0,5002.0,dart,confirmed,2026-04-13 14:08:48,"Winner Avg zu hoch, Loser Avg zu hoch"
550,Raven,Nico Dresler,Nico Dresler,Raven,4:1,4215.0,3804.0,dart,confirmed,2026-04-13 09:46:43,"Winner Avg zu hoch, Loser Avg zu hoch"
547,Raven,Nico Dresler,Nico Dresler,Raven,4:0,4421.0,3587.0,dart,confirmed,2026-04-13 09:15:55,"Winner Avg zu hoch, Loser Avg zu hoch"
544,Nico Dresler,Raven,Nico Dresler,Raven,4:1,4509.0,4144.0,dart,confirmed,2026-04-13 08:40:17,"Winner Avg zu hoch, Loser Avg zu hoch"
539,Christian1980,Eddy Money,Christian1980,Eddy Money,4:3,5943.0,6064.0,scolia,confirmed,2026-04-12 20:26:32,"Winner Avg zu hoch, Loser Avg zu hoch"
532,Marco Primus,Klax,Marco Primus,Klax,4:3,6417.0,6792.0,scolia,confirmed,2026-04-12 17:38:25,"Winner Avg zu hoch, Loser Avg zu hoch"
527,Brickylayer,RocketDarts,RocketDarts,Brickylayer,4:2,5620.0,5758.0,scolia,confirmed,2026-04-12 15:58:33,"Winner Avg zu hoch, Loser Avg zu hoch"
521,Bernard (Giftzwerg),Luca Plocher,Luca Plocher,Bernard (Giftzwerg),4:1,5123.0,4518.0,scolia,confirmed,2026-04-12 13:37:19,"Winner Avg zu hoch, Loser Avg zu hoch"
520,Michel Ellrich,Nico Dresler,Nico Dresler,Michel Ellrich,4:3,5254.0,4914.0,dart,confirmed,2026-04-12 13:12:22,"Winner Avg zu hoch, Loser Avg zu hoch"
517,Niklas H,RocketDarts,RocketDarts,Niklas H,4:1,3771.0,3878.0,scolia,confirmed,2026-04-12 11:05:57,"Winner Avg zu hoch, Loser Avg zu hoch"
514,Bazzi,Möffi,Möffi,Bazzi,4:2,5855.0,55.52,dart,confirmed,2026-04-12 10:10:05,Winner Avg zu hoch
508,Kasper4E,Andy Bühner,Kasper4E,Andy Bühner,4:1,4540.0,4572.0,dart,confirmed,2026-04-11 20:47:06,"Winner Avg zu hoch, Loser Avg zu hoch"
